date,close,open,high,low,volume
2020-2-17,5.812,5.815,5.813,5.811,143770
2020-2-18,5.773,5.760,5.793,5.758,142540
2020-2-19,5.770,5.778,5.770,5.730,120460
2020-2-20,5.728,5.755,5.748,5.725,100730
2020-2-21,5.765,5.730,5.765,5.727,119760
2020-2-24,5.689,5.690,5.708,5.681,117680
2020-2-25,5.685,5.695,5.685,5.683,119670
2020-2-26,5.670,5.640,5.676,5.640,143860
2020-2-27,5.616,5.640,5.638,5.586,155880
2020-2-28,5.635,5.605,5.635,5.542,180260
2020-3-2,5.700,5.657,5.699,5.657,155700
2020-3-3,5.667,5.690,5.688,5.662,151270
2020-3-4,5.684,5.718,5.716,5.675,126010
2020-3-5,5.674,5.695,5.687,5.673,115040
2020-3-6,5.607,5.643,5.638,5.607,135290
2020-3-9,5.535,5.495,5.535,5.495,171510
2020-3-10,5.566,5.610,5.608,5.565,180060
2020-3-11,5.529,5.562,5.560,5.529,162620
2020-3-12,5.440,5.400,5.438,5.400,214800
2020-3-13,5.460,5.550,5.547,5.461,166860
2020-3-16,5.291,5.230,5.290,5.220,206670
2020-3-17,5.144,5.225,5.216,5.144,215310
2020-3-18,4.745,4.890,4.882,4.740,226880
2020-3-19,4.825,4.720,4.835,4.690,219770
2020-3-20,4.810,4.870,4.868,4.811,154880
2020-3-23,4.630,4.642,4.676,4.463,112780
2020-3-24,4.814,4.698,4.929,4.645,117410
2020-3-25,4.855,4.840,4.890,4.744,100270
2020-3-26,4.804,4.856,4.856,4.769,82790
2020-3-27,4.791,4.833,4.866,4.771,90810
2020-3-30,4.770,4.766,4.804,4.741,159030
2020-3-31,4.951,4.802,4.970,4.802,131990
2020-4-1,4.800,4.899,4.912,4.769,134320
2020-4-2,4.897,4.799,4.937,4.761,99520
2020-4-3,4.840,4.880,4.936,4.834,93330
2020-4-6,4.884,4.846,4.926,4.839,89300
2020-4-7,5.040,4.941,5.112,4.936,155960
2020-4-8,5.003,4.992,5.063,4.966,147850
2020-4-9,5.020,5.041,5.069,4.985,174000
2020-4-14,5.163,5.141,5.200,5.130,165860
2020-4-15,5.112,5.173,5.184,5.071,103280
2020-4-16,5.140,5.105,5.150,5.091,110400
2020-4-17,5.211,5.171,5.238,5.171,102810
2020-4-20,5.184,5.198,5.247,5.162,124770
2020-4-21,5.030,5.157,5.182,4.954,148030
2020-4-22,5.132,5.069,5.137,4.974,101700
